,Index,ID,Provinz,Ort,Breite,Länge,Text,_7,_8,_9
10,914,EDCS-16500055,Aemilia / Regio VIII,Ravenna,44.4161414,12.2017617,Antoniae / Rutiliae / P(ublius) Memmius / Pergamus / coniugi ka/rissimae / b(ene) m(erenti) f(ecit),101,200,
11,937,EDCS-20401805,Aemilia / Regio VIII,Rimini / Ariminum,44.0593886,12.5684371,Gen(io) / collegi(i) / Arimin{i}e(n)s(ium) / L(ucius) Marius / Pegeus / b(ene) m(erenti) d(onum) d(edit),1,100,tituli sacri;  tria nomina;  viri
12,1210,EDCS-34800226,Africa proconsularis,Abu Nujaym / Chol / Bu Njem / Bou-Ngem / Gholaia / Golas,30.581648,15.395789,Se]cundinus / [3]natus / [3]relicus / [reliqui repu]ng[e]nt / [,253,259,milites;  tituli possessionis;  viri
13,1231,EDCS-34800246,Africa proconsularis,Abu Nujaym / Chol / Bu Njem / Bou-Ngem / Gholaia / Golas,30.581648,15.395789,Oc[ta]vio Festo [dec(urioni) p(rae)p(osito) meo 3] / A[3] / [3] salu[tem] / ISCIAS[3]L[3] / sex [3] / scrip[3] / [6] / [3] nata [3] / [3] viginti tra[3] / C[1]ET[3]um Publi[3] / [1] tr[ans]mi[tt]ere mihi per / [,259,259,milites;  tituli possessionis;  tria nomina;  viri
14,1398,EDCS-73400461,Africa proconsularis,Al-Khums / Khoms / Homs / Lebdah / Lebida / Labdah / Wadi Zennad / Wadi az Zannad / Leptis Magna / Lepcis Magna / Neapolis,32.652183,14.26801,Bono / [Ev]entui // [3 C]erialis conduc(tor) tertiu[m 3] / [3 provi]nciae Af[r]i[cae 3] / [3] b(ene) m(erenti),171,230,officium/professio;  tituli sacri;  viri
15,1853,EDCS-17700866,Africa proconsularis,Carthago,36.8527778,10.3233333,Clodia [3] / aman[s] vir[i p]ia / [vi]x(it) XNIA[3] / cerne viator in hoc [tumulo iacet optima coniunx] / commune hoc [mon]um[entum illius atque viri est] / qua&lt;e=I&gt;so abi ne vio[l]a sic [fiant omnia quae vis(?)] / et tibi quicumque e[s molliter ossa cubent(?)],101,300,carmina;  mulieres;  tituli operum;  viri
16,1954,EDCS-81200038,Africa proconsularis,Chemtou / Chimtou / Shimtu / Simitthus,36.492029,8.577901,[D(is) M(anibus) s(acrum)] / Aurelia [3]a / pia vixit annis [3] / bene merenti Iulius Primus / amic(a)e su(a)e fecit,151,250,mulieres;  tria nomina
17,2572,EDCS-46400965,Africa proconsularis,"Mettich, Hr. / Mappalia Siga",36.569468,9.366642,[Pro sal]ute / [A]ug(usti) n(ostri) Im[p(eratoris)] Caes(aris) Traiani prin[c(ipis)] / totiusqu[e] domus divin(a)e / [Op]timi Germanici Pa[r]thici data a Licinio / [Ma]ximo et Feliciore Aug(usti) lib(erto) procc(uratoribus) ad exemplu[m] / [leg]is Mancian(a)e qui eorum [e]xtra fund&lt;um=O&gt; Villae Mag/[n](a)e Varian(a)e id est Mappalia Siga eis eos agros qui su[b]/[c]esiva sunt excolere permittitur lege Manciana / ita ut e&lt;o=A&gt;s qui excoluerit usum proprium habe/at ex fructibus qui eo loco nati erunt dominis au[t] / conductoribus vilicisve eius f(undi) partes e lege Ma/nciana pr(a)estare debebunt hac cond&lt;i=E&gt;cione coloni / fructus cuiusque cultur(a)e quos ad area(m) deportare / et terere debebunt summas r[edd]ant arbitratu / [s]uo conductoribus vilicis[ve ei]us f(undi) et si conduct[o]/r&lt;ibu=E&gt;s vilicisve eius f(undi) in assem p[artes c]ol(on)icas (!) datur/&lt;o=A&gt;s renuntiaverint tabell[is intra dies tr]es cavea/nt eius fructus partes qu[as hac lege pr(a)estar]e debent / conductor&lt;ibu=E&gt;s vilicisve eius [f(undi) ita col]oni colonic/as partes pr(a)estare debeant qu[i eorum i]n f(undo) Villae Mag/nae sive Mappalia(e) Siga(e) villas [habe]nt habebunt / dominicas eius f(undi) aut conductoribus vilicisv[e] / eorum in assem partes fructu(u)m et vinea(ru)m ex / consuetudine Mancian&lt;a=E&gt; cu[i]usque gene/ris habet pr(a)estare debebunt tritici ex a/rea{m} partem tertiam hordei ex area{m} / partem tertiam fab(a)e ex area{m} partem qu/[ar]tam vin&lt;i=V&gt; de lac&lt;u=O&gt; partem tertiam ol[e]/[i co]acti partem tertiam mellis in alve/[is] mellari(i)s sextarios singulos qui supra // [H](a)ec lex scripta a Lur(i)o Victore Odilonis magistro et Flavio Gem/inio defensore Felice Annobalis Birzilis // Quinque alveos / habebit in tempore qu[o vin]/demia mellaria fue[rit aut] / dominis aut conducto[ribus vili]/cisve eius f(undi) qui(ntam) in assem [partem] / d(are) d(ebebit) si quis alveos examina apes [vasa] / mellaria ex f(undo) Villae Magn(a)e sive M/appali(a)e Sig(a)e in octonarium agru[m] / transtulerit quo fraus aut dominis au[t] / conductoribus vilicisve ei(u)s (!) quam fiat a[lv]/ei{s} exam(in)a apes vasa mellaria mel qui in [eo f(undo)] / erunt conductor&lt;um=IBUS&gt; v[ili]coru]mve in assem e[ius] / f(undi) erunt ficus arid(a)e arbo[res eius f(undi)] qu(a)e extra pom[a]/rio erunt qua pomarium [ita int]ra villam ips[am] / sit ut non amplius iu[geris 3 pate]at col[on]/us arbitrio suo co[actorum fructuu]m con[ducto]/ri vilicisve eius f(undi) part[em tertiam d(are) d(ebebit)] ficeta ve[te]/ra et oliveta qu(a)e ante [h(anc) lege]m [sata sunt e] consuet[u]/dine{m} fructum conductori vilicisve eius (!) pr(a)estar[e] / debeat si quod ficetum postea factum erit eius fic[eti] / fruct{uct}um per continuas ficationes quinque / arbitrio suo e&lt;i=O&gt; qui se{r}verit percipere permittitur / post quintam ficationem eadem lege{m} qua s(upra) s(criptum) est / conductoribus vilicisve eius f(undi) p(raestare) d(ebebit) vineas serere / colere loco veterum permittitur ea condicione u[t] / ex ea satione prox&lt;i=U&gt;mis vindemi(i)s quinque fructu[m] / earum vinearum is qui ita (se)verit suo arbitr(i)o per/cip&lt;i=E&gt;at itemque post quinta(m) vindemia(m) quam ita sata / erit fructus partes tertias e lege Manciana conduc/toribus // V[ilicis]ve eius (!) in assem dare debe/bu[nt o]livetum serere colere in / eo loc[o] qua quis incultum excolu/erit permittitur ea condici{ci}one u/t ex ea satione eius fructus oliveti q/u&lt;o=I&gt;d ita satum est per olivationes pro/ximas decem arbitrio suo per{mitte}/{re}&lt;cipi=DEBE&gt;at item pos[t] olivationes (!) ole[i] / coacti partem t[e]rtia[m c]onducto/ribus vilicisve ei[us f(undi)] d(are) d(ebebit) [q]ui inse{r}ve/rit oleastra post [vindemias qui]nque par/tem tertiam d(are) d(ebebit) q[ui agri herbosi] in f(undo) / Vill(a)e Magn(a)e Var[ianae sive] Mappaliae / Sig(a)e sunt eruntve extra [eos] agros qui / vicias habent eorum a[g]rorum fruct/u{u}s conductoribus vilicisv[e de]nt[u]r custodes e/xigere debebu(n)t pro pecor&lt;ibus=A&gt; q[u]ae intra f(undum) Vill(a)e M/agn(ae) Mappali(a)e Sig(a)[e] pascentur in pecora sin/gula aera quattuor conductoribus vilicisve do/minorum eius f(undi) pr(a)estare debeb[u]nt si quis ex f(undo) Vill(a)e / Magn(a)e sive Mappali(a)e Sig(a)e fructus stantem pen/dentem maturum i&lt;m=N&gt;maturum caeciderit excider/it exportaverit deportaverit conbus(s)erit dese&lt;c=Q&gt;uer/it sequ(entis) [b]ie(n)ii detrimentum conductoribus vilicisve ei/us f(undi) // [pr(a)estare c]oloni erit ei cui det[rimentum intulerit quanti fuerit] / tantum pr(a)estare d[ebebit qui in f(undo) Vill(a)e Magn(a)e Varia]/n(a)e siv(e) Mappali(a)e Sig[(a)e ficetum olivetum vineas se]/verunt severin[t eis eam dsuperficiem heredibus] / qui e legitim[is matrimoniis nati sunt eruntve] / testamen[to relinquere permittitur si quae sup]/erficies [post] hoc tempus lege Ma[nciana pigno]/ri [3] fiduci(a)eve data(e) sunt dabuntur [heredibus] / [3]ius fiduciae lege Mancian&lt;a=E&gt; serva[bitur qui] / [su]perficiem ex inculto excoluit excoluer[it eive qui] / [ibi] aedificium deposuit posuerit eive qui [coluerit si] / desierit perdesierit eo tempore quo ita ea superfic[ies] / coli desit desierit ea quo fuit fuerit ius colendi dumta[xa]/t bienn(i)o proximo ex qua die colere desierit servatu[r] / servabitur post biennium conductor&lt;ibu=E&gt;s vilicisve eor[um] / ea superficies qu(a)e prox&lt;i=U&gt;mo anno {f} culta fuit et coli [desi]/erit conductor vilicusve eius f(undi) (!) ea superficies esse d[icit]/ur denuntiet superficiem cultam testato negita[visse] / denuntiationem denuntiatur Mappaliasigalis testa[nd]/o itemque &lt;i=N&gt;nsequentem annum [si negi]tat ea(m) sine quer[ell]/a eius {eius f} post bien(n)ium conductor vilicusve (!) cole[re de]/beto ne quis conductor vilicusv[e {eoru]m} in[q]uilinum [eius] / f(undi) coloni qui intra f(undum) Vill(a)e Magn[(a)e sive Mapp]ali(a)e Sig(a)e ha[bit]/abunt dominis aut conduct[oribus vilicisve eorum] in assem [q]/[u]o&lt;t=D&gt;annis in hominibus [singulis in aratio]nes oper/as n(umero) II et in messem op[eras n(umero) 3 et cuiusqu]e generi[s] / [s]ingulas operas bin[as] p[r(a)estare debebu]nt colon[i] / inquilini eius f(undi) i[n]tra [pr(idie) Kal(endas) primas cuiusque] anni n/omina sua con[duc]tor[ibus vilicisve i]n custo/dias singulas qu[as in] agri[s pr(a)estare debent nomi]nent / ratam seorsum [3]sum / stipendiarior[um qui intra f(undum) Vill(a)e Magn(a)e sive M]appa/li(a)e Sig(a)e habitabu[nt nomine sua nominent in custodias q]uas c/onductoribus vil[icisve eius f(undi) pr(a)estare deben]t cust/odibus servis dom[inis 3] est / [3] singula [,116,117,Augusti/Augustae;  leges;  liberti/libertae;  nomen singulare;  ordo equester;  servi/servae;  tria nomina;  viri
18,3371,EDCS-10000087,Alpes Maritimae,Tourrette-Levens / Cemenelum,43.7878,7.27228,Gaio Clementis f(ilio) / Clementi Eraconis f(ilio) / Publio Clementis f(ilio) / Vectinia Enimanui f(ilia) / co(n)iugi et fil&lt;i=E&gt;is et / Posila Quarta Quinta / patri et fratribus / b(ene) m(erentibus),1,70,mulieres;  nomen singulare;  viri
19,3504,EDCS-36100048,Alpes Poeninae,Saint-Maurice / Saint-Maurice d|Agaune / Acaunus Nantuatium,46.2197694,7.0045193,[C(aio) Caesari Au]gusti f(ilio) divi Iu[li nepoti] / [principi iuventu]tis pontifici co(n)[s(uli) designato] / [hic primus omn]ium ann[os natus XIIII] / [consu]l des[ig]natus es,-5,1,Augusti/Augustae;  tituli honorarii;  tituli sacri;  viri
