"","Hispania citerior","Roma","Venetia et Histria / Regio X","Apulia et Calabria / Regio II","Transpadana / Regio XI","Lusitania","Latium et Campania / Regio I","Umbria / Regio VI","Samnium / Regio IV","Gallia Narbonensis","Dalmatia","Aquitani(c)a","Lugudunensis","Germania superior","Moesia superior","Dacia","Bruttium et Lucania / Regio III","Noricum","Picenum / Regio V","Aemilia / Regio VIII","Numidia","Mauretania Caesariensis","Raetia","Moesia inferior","Pannonia inferior","Baetica","Sicilia","Sardinia","Liguria / Regio IX","Pannonia superior","Germania inferior","Alpes Maritimae","Britannia","Mauretania Tingitana","Etruria / Regio VII","Africa proconsularis","Macedonia","Alpes Cottiae","Cappadocia","Provincia incerta","Corsica","Asia","Arabia","Thracia","Italia","Belgica | Germania superior","Palaestina","Galatia","Barbaricum","Alpes Poeninae","Belgica","Achaia","Pontus et Bithynia","Aegyptus","Syria","Alpes Graiae","Lycia et Pamphylia","Regnum Bospori","Cyprus","Cilicia"
"milites","0","19","4","2","0","5","4","1","3","0","8","0","8","1","5","16","0","3","1","2","36","10","3","7","16","0","0","1","0","19","0","1","1","1","0","53","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"liberti/libertae","4","119","4","4","1","5","32","4","11","9","6","0","6","2","3","3","0","6","5","4","7","1","0","2","1","21","0","3","1","1","1","0","0","0","7","40","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"servi/servae","0","43","4","3","0","4","4","1","5","0","3","0","0","0","0","1","1","2","1","0","2","4","0","0","0","5","0","0","0","0","0","0","0","0","1","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"sacerdotes pagani","2","6","1","1","0","0","2","0","0","3","2","0","0","0","0","1","0","1","0","0","14","2","0","1","1","3","0","0","0","2","1","1","0","0","0","42","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ordo decurionum","3","1","3","3","0","3","2","1","11","1","6","0","0","0","0","5","0","2","1","1","5","2","0","3","4","6","0","0","1","5","1","1","0","4","1","16","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"ordo equester","0","8","3","1","0","0","2","1","1","0","1","0","1","0","1","1","0","0","0","1","4","3","0","0","0","0","0","0","0","1","0","0","0","0","0","6","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ordo senatorius","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
