"","Hispania citerior","Roma","Venetia et Histria / Regio X","Apulia et Calabria / Regio II","Transpadana / Regio XI","Lusitania","Latium et Campania / Regio I","Umbria / Regio VI","Samnium / Regio IV","Gallia Narbonensis","Dalmatia","Aquitani(c)a","Lugudunensis","Germania superior","Moesia superior","Dacia","Bruttium et Lucania / Regio III","Noricum","Picenum / Regio V","Aemilia / Regio VIII","Numidia","Mauretania Caesariensis","Raetia","Moesia inferior","Pannonia inferior","Baetica","Sicilia","Sardinia","Liguria / Regio IX","Pannonia superior","Germania inferior","Alpes Maritimae","Britannia","Mauretania Tingitana","Etruria / Regio VII","Africa proconsularis","Macedonia","Alpes Cottiae","Cappadocia","Provincia incerta","Corsica","Asia","Arabia","Thracia","Italia","Belgica | Germania superior","Palaestina","Galatia","Barbaricum","Alpes Poeninae","Belgica","Achaia","Pontus et Bithynia","Aegyptus","Syria","Alpes Graiae","Lycia et Pamphylia","Regnum Bospori","Cyprus","Cilicia"
"milites","3","39","9","0","0","0","6","8","5","0","3","0","5","13","9","22","0","6","1","1","37","12","0","16","14","2","1","2","2","12","8","0","4","4","10","24","0","0","0","7","0","0","2","3","0","0","4","1","1","0","0","0","0","1","2","0","0","0","0","0"
"liberti/libertae","10","79","10","5","9","0","51","7","3","3","2","1","0","2","2","2","1","1","2","2","0","0","0","1","2","5","0","0","0","4","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"servi/servae","0","11","2","4","0","0","7","0","4","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","4","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"sacerdotes pagani","5","89","7","2","1","0","17","5","2","2","1","1","0","0","1","0","2","1","0","3","15","4","1","4","0","1","0","0","2","1","0","2","0","0","6","12","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ordo decurionum","5","3","8","3","0","0","80","5","2","4","3","0","0","2","1","3","3","1","2","1","8","7","2","4","0","3","2","0","1","2","0","2","0","0","9","13","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ordo equester","2","15","12","2","1","0","11","7","9","1","1","0","0","1","3","7","4","3","0","3","11","10","1","1","2","1","2","6","1","3","1","1","2","6","8","6","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","8","0","0","0","0","0","0"
"ordo senatorius","7","128","14","6","3","1","45","6","14","2","6","0","4","1","8","10","1","0","1","1","50","5","0","10","4","3","3","3","2","3","1","0","4","1","9","53","3","0","5","6","0","2","3","2","0","0","5","3","1","0","0","1","0","2","2","0","0","0","0","0"
