,Hispania citerior,Roma,Venetia et Histria / Regio X,Apulia et Calabria / Regio II,Transpadana / Regio XI,Lusitania,Latium et Campania / Regio I,Umbria / Regio VI,Samnium / Regio IV,Gallia Narbonensis,Dalmatia,Aquitani(c)a,Lugudunensis,Germania superior,Moesia superior,Dacia,Bruttium et Lucania / Regio III,Noricum,Picenum / Regio V,Aemilia / Regio VIII,Numidia,Mauretania Caesariensis,Raetia,Moesia inferior,Pannonia inferior,Baetica,Sicilia,Sardinia,Liguria / Regio IX,Pannonia superior,Germania inferior,Alpes Maritimae,Britannia,Mauretania Tingitana,Etruria / Regio VII,Africa proconsularis,Macedonia,Alpes Cottiae,Cappadocia,Provincia incerta,Corsica,Asia,Arabia,Thracia,Italia,Belgica | Germania superior,Palaestina,Galatia,Barbaricum,Alpes Poeninae,Belgica,Achaia,Pontus et Bithynia,Aegyptus,Syria,Alpes Graiae,Lycia et Pamphylia,Regnum Bospori,Cyprus,Cilicia,Italien
milites,7,164,15,11,4,7,42,11,11,0,46,0,29,10,51,50,5,31,4,24,175,27,12,37,62,2,0,5,5,64,14,3,5,2,6,62,4,1,1,0,0,6,2,1,1,0,1,1,2,1,2,0,1,7,4,0,1,0,0,1,139
liberti/libertae,23,1228,48,29,26,11,234,35,61,44,34,0,26,6,14,12,8,15,14,25,19,5,1,9,4,24,4,18,7,2,4,2,1,0,38,58,7,1,1,2,0,4,0,1,0,0,0,1,0,0,3,2,1,0,0,0,0,0,0,0,525
servi/servae,1,363,9,23,2,5,33,3,20,1,15,0,2,2,7,6,4,9,3,3,5,5,0,4,0,7,2,9,3,2,0,0,1,0,6,121,3,0,1,0,0,2,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,109
sacerdotes pagani,2,36,3,12,5,0,18,2,4,7,2,0,1,0,1,2,4,1,1,3,22,7,0,4,1,4,0,0,2,2,3,6,0,0,5,53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
ordo decurionum,5,8,9,20,7,4,20,10,40,3,14,0,3,1,13,11,7,18,6,6,13,8,4,12,5,9,0,0,2,9,2,5,0,4,5,28,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,132
ordo equester,3,31,9,6,0,0,16,5,7,0,4,0,1,0,8,1,2,1,2,6,14,14,2,0,7,0,0,2,2,3,0,0,1,3,1,11,1,0,0,0,1,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,56
ordo senatorius,0,27,7,2,1,3,13,2,4,1,3,4,0,0,2,0,0,0,0,1,4,2,0,1,3,1,1,0,0,1,0,0,0,2,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,31
