"","Hispania citerior","Roma","Venetia et Histria / Regio X","Apulia et Calabria / Regio II","Transpadana / Regio XI","Lusitania","Latium et Campania / Regio I","Umbria / Regio VI","Samnium / Regio IV","Gallia Narbonensis","Dalmatia","Aquitani(c)a","Lugudunensis","Germania superior","Moesia superior","Dacia","Bruttium et Lucania / Regio III","Noricum","Picenum / Regio V","Aemilia / Regio VIII","Numidia","Mauretania Caesariensis","Raetia","Moesia inferior","Pannonia inferior","Baetica","Sicilia","Sardinia","Liguria / Regio IX","Pannonia superior","Germania inferior","Alpes Maritimae","Britannia","Mauretania Tingitana","Etruria / Regio VII","Africa proconsularis","Macedonia","Alpes Cottiae","Cappadocia","Provincia incerta","Corsica","Asia","Arabia","Thracia","Italia","Belgica | Germania superior","Palaestina","Galatia","Barbaricum","Alpes Poeninae","Belgica","Achaia","Pontus et Bithynia","Aegyptus","Syria","Alpes Graiae","Lycia et Pamphylia"
"0","0","6","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","1","3","0","0","3","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","1","9","1","0","0","1","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","2","10","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"150","0","6","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","8","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200","1","11","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","6","0","1","0","0","0","0","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"250","2","0","0","1","0","2","1","0","0","0","5","0","0","0","0","1","1","0","0","0","1","0","0","0","1","4","1","1","0","1","0","0","0","0","0","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"undatiert","0","17","0","0","0","5","3","1","0","5","0","0","0","0","0","0","1","0","0","0","114","11","0","0","0","1","0","1","0","0","0","0","0","1","1","322","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
