"","Hispania citerior","Roma","Venetia et Histria / Regio X","Apulia et Calabria / Regio II","Transpadana / Regio XI","Lusitania","Latium et Campania / Regio I","Umbria / Regio VI","Samnium / Regio IV","Gallia Narbonensis","Dalmatia","Aquitani(c)a","Lugudunensis","Germania superior","Moesia superior","Dacia","Bruttium et Lucania / Regio III","Noricum","Picenum / Regio V","Aemilia / Regio VIII","Numidia","Mauretania Caesariensis","Raetia","Moesia inferior","Pannonia inferior","Baetica","Sicilia","Sardinia","Liguria / Regio IX","Pannonia superior","Germania inferior","Alpes Maritimae","Britannia","Mauretania Tingitana","Etruria / Regio VII","Africa proconsularis","Macedonia","Alpes Cottiae","Cappadocia","Provincia incerta","Corsica","Asia","Arabia","Thracia","Italia","Belgica | Germania superior","Palaestina","Galatia","Barbaricum","Alpes Poeninae","Belgica","Achaia","Pontus et Bithynia","Aegyptus","Syria","Alpes Graiae","Lycia et Pamphylia","Regnum Bospori","Cyprus","Cilicia"
"milites","0","3","1","0","0","0","1","0","2","0","1","0","0","0","0","4","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"liberti/libertae","3","8","0","1","3","0","7","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"servi/servae","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"sacerdotes pagani","0","4","0","1","1","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ordo decurionum","0","0","0","1","0","0","2","1","1","1","0","0","0","0","1","0","1","0","0","0","0","2","0","0","0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ordo equester","0","1","1","1","0","0","1","1","2","0","0","0","0","0","0","0","1","0","0","1","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ordo senatorius","0","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
