,mater,pater,frater,soror,noverca,privignus,amita,matertera,nurrus,filius,filia,avia,avus,avunculus,patruus,gener,nurus,uxor,maritus,coniux,coniunx,concubinus,contubernalis,parens,socer,conubium,matrimonium,Person M,Person W,Person N,Gesamt
simplex,0,6,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,6,0,0,0,0,0,0,28,0,0,48
iucundus,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,14
innocens,4,1,0,1,0,0,0,0,0,6,19,0,0,0,0,0,0,3,2,0,13,0,0,1,0,0,0,18,5,0,73
indulgentus,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,10,0,0,18
fidelis,0,1,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,11,2,1,24,0,0,1,0,0,0,37,3,0,85
moderatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amo,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,9
probo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5
doleo,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,5,0,0,14
mereo,41,39,21,8,0,0,0,0,0,69,21,0,0,0,0,1,0,22,67,1,713,0,1,37,2,0,0,354,15,2,1414
afficio,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,4
nascor,3,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,76,0,0,87
desero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obsequor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pudens,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6
sapiens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4
sanctus,19,2,1,9,0,0,0,0,0,8,19,0,0,0,0,0,0,80,4,2,320,0,0,3,0,0,0,96,10,0,573
praesto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
mero,84,186,161,30,0,5,0,0,0,242,83,4,0,1,0,1,1,71,136,1,2167,0,17,43,0,0,0,1169,46,3,4451
Gesamt,923,867,448,261,1,8,1,2,0,1797,1994,25,1,4,3,11,4,981,606,12,6171,0,37,288,5,0,0,5516,407,22,20395
