"","Hispania citerior","Roma","Venetia et Histria / Regio X","Apulia et Calabria / Regio II","Transpadana / Regio XI","Lusitania","Latium et Campania / Regio I","Umbria / Regio VI","Samnium / Regio IV","Gallia Narbonensis","Dalmatia","Aquitani(c)a","Lugudunensis","Germania superior","Moesia superior","Dacia","Bruttium et Lucania / Regio III","Noricum","Picenum / Regio V","Aemilia / Regio VIII","Numidia","Mauretania Caesariensis","Raetia","Moesia inferior","Pannonia inferior","Baetica","Sicilia","Sardinia","Liguria / Regio IX","Pannonia superior","Germania inferior","Alpes Maritimae","Britannia","Mauretania Tingitana","Etruria / Regio VII","Africa proconsularis","Macedonia","Alpes Cottiae","Cappadocia","Provincia incerta","Corsica","Asia","Arabia","Thracia","Italia","Belgica | Germania superior","Palaestina","Galatia","Barbaricum","Alpes Poeninae","Belgica","Achaia","Pontus et Bithynia","Aegyptus","Syria","Alpes Graiae","Lycia et Pamphylia"
"0","2","6","0","1","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","2","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","1","34","3","1","2","0","5","2","5","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","17","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","3","73","3","6","1","1","11","5","8","3","4","0","0","0","0","0","1","0","3","0","0","0","1","0","0","11","1","1","1","0","0","3","0","0","4","39","2","0","0","1","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"150","2","43","2","1","1","4","13","3","8","0","4","1","0","1","0","0","0","1","0","1","0","0","0","1","0","9","2","3","0","3","0","1","0","0","3","50","1","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"200","18","56","3","6","5","5","31","9","19","8","5","0","0","0","4","3","3","0","3","3","3","2","0","2","3","28","0","7","1","3","1","1","3","0","4","84","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"250","8","30","5","1","1","13","18","3","3","5","7","0","1","0","1","3","0","1","1","1","3","3","1","0","3","51","0","3","1","1","1","0","0","0","2","83","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"undatiert","18","159","3","3","1","28","15","1","1","78","1","0","5","0","0","0","1","0","1","2","275","44","0","0","1","23","1","4","1","0","0","0","0","7","3","1456","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
