"","Hispania citerior","Roma","Venetia et Histria / Regio X","Apulia et Calabria / Regio II","Transpadana / Regio XI","Lusitania","Latium et Campania / Regio I","Umbria / Regio VI","Samnium / Regio IV","Gallia Narbonensis","Dalmatia","Aquitani(c)a","Lugudunensis","Germania superior","Moesia superior","Dacia","Bruttium et Lucania / Regio III","Noricum","Picenum / Regio V","Aemilia / Regio VIII","Numidia","Mauretania Caesariensis","Raetia","Moesia inferior","Pannonia inferior","Baetica","Sicilia","Sardinia","Liguria / Regio IX","Pannonia superior","Germania inferior","Alpes Maritimae","Britannia","Mauretania Tingitana","Etruria / Regio VII","Africa proconsularis","Macedonia","Alpes Cottiae","Cappadocia","Provincia incerta","Corsica","Asia","Arabia","Thracia","Italia","Belgica | Germania superior","Palaestina","Galatia","Barbaricum","Alpes Poeninae","Belgica","Achaia","Pontus et Bithynia","Aegyptus","Syria","Alpes Graiae","Lycia et Pamphylia","Regnum Bospori","Cyprus","Cilicia"
"felix","0.00","1.00","0.00","5.10","0.00","5.24","1.40","0.00","0.00","0.00","1.90","0.00","0.00","0.00","7.11","0.00","0.00","0.00","0.00","0.00","3.51","8.24","0.00","0.00","0.00","4.01","0.00","0.00","0.00","0.00","28.45","0.00","0.00","0.00","0.00","1.72","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"dignus","0.00","1.00","0.94","0.00","0.00","0.00","1.88","2.75","0.92","0.00","0.00","0.00","0.00","0.00","0.00","2.33","0.00","0.00","3.73","0.00","1.84","7.42","0.00","0.00","3.04","0.00","6.64","0.00","0.00","4.54","0.00","0.00","0.00","0.00","0.00","0.21","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"tristis","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"amans","1.97","1.00","1.26","0.51","5.43","1.05","1.12","0.92","0.00","0.90","0.00","6.13","5.61","0.00","1.42","0.00","1.40","0.00","2.49","1.26","3.16","2.47","0.00","0.00","0.00","0.00","0.00","1.76","4.60","1.51","0.00","6.46","0.00","0.00","0.70","0.55","5.09","0.00","0.00","0.00","0.00","15.93","26.56","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"innocens","6.57","1.00","20.96","3.40","9.05","0.00","1.86","0.00","0.00","2.99","3.81","0.00","11.22","0.00","0.00","10.35","0.00","9.16","0.00","8.43","8.77","10.99","25.70","0.00","0.00","0.00","0.00","5.86","0.00","15.13","0.00","0.00","0.00","0.00","0.00","0.92","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","39.83","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"iucundus","0.00","1.00","0.00","0.00","0.00","0.00","1.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.75","0.00","0.00","19.59","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.69","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"mereo","0.63","1.00","0.76","2.50","0.35","0.80","1.11","1.69","2.35","0.09","3.73","0.00","0.14","0.91","6.07","7.02","1.69","0.09","1.59","2.66","0.57","0.94","0.49","4.99","1.16","0.51","1.69","1.34","2.05","1.06","0.00","0.41","0.00","0.65","1.02","0.09","1.94","0.00","3.04","0.33","1.90","3.04","0.00","5.07","0.00","0.00","5.07","0.00","0.00","0.00","0.00","0.00","2.17","6.92","5.07","0.00","3.81","7.61","0.00","0.00"
"probo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mero","0.31","1.00","0.28","1.17","0.25","0.14","0.91","0.51","0.70","0.04","0.44","0.07","0.04","0.05","0.57","0.37","1.21","0.02","0.45","0.44","0.32","0.27","0.09","0.82","0.18","0.05","0.65","1.04","0.37","0.03","0.06","0.22","0.08","0.17","0.72","0.02","0.46","0.00","0.00","0.94","0.34","0.36","0.30","0.00","1.09","0.00","1.81","0.90","0.00","0.00","0.00","0.90","0.78","0.00","0.30","1.36","0.00","1.36","2.71","2.71"
"amo","6.57","1.00","0.00","0.00","0.00","0.00","0.00","0.00","6.14","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.75","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","56.90","0.00","0.00","50.85","0.00","0.69","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"nascor","1.64","1.00","4.72","0.00","3.39","0.00","2.09","6.87","0.00","1.12","4.76","0.00","2.81","11.95","3.56","3.88","0.00","0.00","0.00","0.00","0.44","2.06","0.00","4.90","0.00","4.01","0.00","0.00","0.00","11.34","14.23","0.00","0.00","0.00","64.45","0.17","0.00","0.00","0.00","0.00","0.00","79.67","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","54.32","0.00","0.00","149.38","0.00","0.00","0.00"
"afficio","0.00","1.00","0.00","0.00","0.00","0.00","2.09","13.74","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"pudens","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"doleo","3.94","1.00","3.77","6.12","0.00","0.00","0.00","5.49","0.00","0.00","2.28","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14.94","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"probus","0.00","1.00","0.00","5.10","13.58","0.00","1.40","18.31","12.29","4.49","0.00","0.00","22.44","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.69","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"indulgentus","0.00","1.00","0.00","0.00","5.82","0.00","2.39","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","21.79","2.99","0.59","21.79","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"fortis","0.00","1.00","1.45","1.18","0.00","0.00","0.64","0.00","0.00","0.00","0.88","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17.24","0.00","3.22","1.11","0.00","0.00","0.00","0.00","0.00","36.77","0.00","0.00","0.00","0.00","0.00","91.92","0.00","0.00","0.00","0.00","0.00","150.42","0.00","0.00","0.00","0.00","0.00","0.00"
"simplex","9.85","1.00","0.00","0.00","5.09","0.00","0.52","3.43","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.32","3.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","56.02","0.00","2.61","0.78","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"mellitus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fidelis","2.46","1.00","2.95","0.48","0.00","0.00","0.26","3.43","0.00","0.42","0.71","5.75","1.05","8.96","0.00","0.00","0.00","6.44","0.00","1.19","1.32","0.77","0.00","0.00","1.90","0.00","0.00","0.00","4.31","1.42","5.33","0.00","7.00","0.00","0.00","0.52","4.77","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","24.90","0.00","0.00","0.00","0.00","0.00"
"clemens","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fidus","0.00","1.00","3.14","0.00","0.00","0.00","0.00","4.58","0.00","0.00","1.90","0.00","0.00","23.90","0.00","0.00","0.00","0.00","12.45","0.00","1.75","0.00","0.00","0.00","0.00","0.00","0.00","8.79","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
