"","Hispania citerior","Roma","Venetia et Histria / Regio X","Apulia et Calabria / Regio II","Transpadana / Regio XI","Lusitania","Latium et Campania / Regio I","Umbria / Regio VI","Samnium / Regio IV","Gallia Narbonensis","Dalmatia","Aquitani(c)a","Lugudunensis","Germania superior","Moesia superior","Dacia","Bruttium et Lucania / Regio III","Noricum","Picenum / Regio V","Aemilia / Regio VIII","Numidia","Mauretania Caesariensis","Raetia","Moesia inferior","Pannonia inferior","Baetica","Sicilia","Sardinia","Liguria / Regio IX","Pannonia superior","Germania inferior","Alpes Maritimae","Britannia","Mauretania Tingitana","Etruria / Regio VII","Africa proconsularis","Macedonia","Alpes Cottiae","Cappadocia","Provincia incerta","Corsica","Asia","Arabia","Thracia","Italia","Belgica | Germania superior","Palaestina","Galatia","Barbaricum","Alpes Poeninae","Belgica","Achaia","Pontus et Bithynia","Aegyptus","Syria","Alpes Graiae","Lycia et Pamphylia","Regnum Bospori","Cyprus","Cilicia"
"0","1","9","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","2","37","4","0","3","0","4","2","6","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","4","83","3","6","1","2","9","5","7","3","5","0","0","0","0","0","1","0","4","0","0","0","0","0","0","11","1","1","2","1","0","2","0","0","5","38","2","0","0","1","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"150","2","51","2","2","0","4","14","1","7","0","3","0","0","0","1","0","0","3","0","1","0","0","0","1","1","11","2","2","1","3","0","1","0","0","3","48","2","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200","20","63","5","7","5","4","27","8","22","6","5","0","0","1","3","5","3","1","3","4","3","3","0","2","4","31","0","6","1","2","1","1","2","0","5","81","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"250","13","33","5","4","3","14","17","3","5","6","10","0","2","1","3","7","1","0","1","1","5","2","1","0","5","52","0","3","0","1","1","0","0","0","2","90","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"undatiert","24","242","13","6","3","49","30","7","4","95","2","1","9","0","0","0","5","1","2","5","430","71","0","1","1","33","5","6","2","0","0","0","0","26","7","1942","2","0","0","1","0","0","2","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0"
