"","Hispania citerior","Roma","Venetia et Histria / Regio X","Apulia et Calabria / Regio II","Transpadana / Regio XI","Lusitania","Latium et Campania / Regio I","Umbria / Regio VI","Samnium / Regio IV","Gallia Narbonensis","Dalmatia","Aquitani(c)a","Lugudunensis","Germania superior","Moesia superior","Dacia","Bruttium et Lucania / Regio III","Noricum","Picenum / Regio V","Aemilia / Regio VIII","Numidia","Mauretania Caesariensis","Raetia","Moesia inferior","Pannonia inferior","Baetica","Sicilia","Sardinia","Liguria / Regio IX","Pannonia superior","Germania inferior","Alpes Maritimae","Britannia","Mauretania Tingitana","Etruria / Regio VII","Africa proconsularis","Macedonia","Alpes Cottiae","Cappadocia","Provincia incerta","Corsica","Asia","Arabia","Thracia","Italia","Belgica | Germania superior","Palaestina","Galatia","Barbaricum","Alpes Poeninae","Belgica","Achaia","Pontus et Bithynia","Aegyptus","Syria","Alpes Graiae","Lycia et Pamphylia"
"milites","0","14","3","2","0","4","4","0","4","0","4","0","2","1","2","3","0","1","1","3","32","7","0","2","9","0","0","1","0","8","0","0","1","0","0","45","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"liberti/libertae","4","56","1","3","2","3","25","5","5","6","0","0","2","1","1","1","0","0","1","2","4","1","0","1","0","22","0","1","1","0","1","0","0","0","6","33","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"servi/servae","0","27","1","4","0","1","4","0","4","1","3","0","0","0","0","0","0","0","0","0","3","3","0","0","0","4","0","0","0","0","0","0","0","0","0","101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"sacerdotes pagani","1","8","1","1","1","0","2","1","1","5","3","0","0","0","0","0","0","0","0","0","12","1","0","1","0","3","0","0","0","1","1","1","0","0","1","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ordo decurionum","2","1","1","2","0","3","5","2","12","3","3","0","0","0","1","3","0","0","1","1","4","2","0","1","2","7","0","0","1","5","1","1","0","0","2","17","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ordo equester","0","7","1","0","0","0","4","2","2","0","1","0","0","0","1","0","0","0","0","2","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ordo senatorius","0","3","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
