,mater,pater,frater,soror,noverca,privignus,amita,matertera,nurrus,filius,filia,avia,avus,avunculus,patruus,gener,nurus,uxor,maritus,coniux,coniunx,concubinus,contubernalis,parens,socer,conubium,matrimonium,Person M,Person W,Person N,Gesamt
simplex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,10,0,0,16
iucundus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,6
innocens,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,9
indulgentus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,7
fidelis,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,1,14,0,0,0,0,0,0,10,1,0,32
moderatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3
probo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doleo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,5
mereo,43,78,91,16,0,1,0,0,0,112,50,2,0,1,0,0,0,31,46,0,1707,0,14,38,0,0,0,850,32,2,3114
afficio,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
nascor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,12
desero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obsequor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pudens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sapiens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
sanctus,9,0,1,4,0,0,0,0,0,3,10,0,0,0,0,0,0,32,1,1,171,0,0,1,0,0,0,50,8,0,291
praesto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gesamt,284,192,184,89,0,2,0,0,0,574,770,6,0,2,0,0,0,237,108,8,3260,0,27,102,0,0,0,1542,92,5,7484
