ID,Text,Zuschreibung,Evaluation,
EDCS-00600463,Dis Manibus  pta   Eutychus   coniugi sanctissi mae cum qua vixit annos   sine ulla que rella fecit et sibi,,FN,Gebrochene Zuschschreibung sanctissimae
EDCS-32700147,Caio Iulio Cai filio Iant Ti   Ia  et coniugi,,TN,
EDCS-10200796,eti liberto   Frontoni   bene merentibus,,TN,Inschrift zu verstümmelt für FN
EDCS-34200120,Dis Manibus Decimi Patroni Prisci vixit annos LXX hic situs,,TN,
EDCS-13301027,Parthenio Caesaris Ulpia Restituta uxor,,TN,
EDCS-08701140,Dis Manibus sacrum Marciana annorum XXXXVII pia in suis sit tibi terra levis,,TN,
EDCS-10300224,Iulia Saturnina,,TN,
EDCS-13003042,Dis Manibus sacrum Iulia R ogata coniun lt x=CS gt  Fabi G udulli pia vixit annos LXXXX hic sita est  Dis Manibus sacrum Marcus Fabiu s Gudul lus Fabi Pauli filius pius vixit annos LXXXXIII hic situs est,pius,TP,
EDCS-13900589,Ego a lt v=B gt us bene merenti posui Dex trae nepti quae vixit annos III,,FN,avus aufgrund Editorialien für Lemmatizer nicht lesbar
EDCS-09802263,Dis Manibus Sittia N ovelia vixit annos C,,TN,
EDCS-09802331, vixit annos XXXV hic situs  est,,TN,
EDCS-73101204, vixit    e pos,,TN,
EDCS-25501759,Dis Manibus sacrum Germinius Germinian us vixit an nis  XXXI menses XI dies XX,,TN,
EDCS-20401798,ninniae   lia   niv   eil ,,TN,
EDCS-84000024, in fronte pedes XII in agro pedes XII,,TN,
EDCS-20600787,Dis Manibus Luci Bellici Eutychetis Fortunata con lt t=I gt ubernali karissimo,,FN,(Grenzfall: k-Schreibweise)
EDCS-13000078,In fronte pedes   in agro pedes XII,,TN,
EDCS-08100411,Dis Manibus Livius Monnosus vixit  annos XIII hic situs,,TN,
EDCS-09200227,Dis Manibus Lamisca vixit annos XLV hic sita est filia matri bene merenti libens posuit,,FN,
EDCS-01600638,Sabia Plaetoris liberta Optata viva fecit sibi et suis et Andis Cai filio coniugi et Aufidiae Cai libertae Lyricae filiae suae,,TN,
EDCS-23700120,Pompo nia Nove la vixit annos XXX XV hic sita est,,TN,
EDCS-74300385, Marci filiae   Honorinae   hic sita est ,,TN,
EDCS-08500358,Tritian us Vir oni s ervus annorum XX hic situs est tibi terra levis,,TN,
EDCS-11400679,Dis Manibus Aulo Geminio Demetrio de suo sibi dig nissimi heredes curaverunt,,FN,Getrenntes dignissimus
EDCS-73100325,Dis Manibus Lucio Romanio Fabio Lucius Romanius Crescentilia nus liberto carissimo,,FN,
EDCS-76100215,Quinto Flavio Gai  filio Ga lt l=E gt eria Severino Gaius  Iulius Se,,TN,
EDCS-12401450,Cnaeus Rustius   Rustia Titi Cnaeus   Cnaeus Rustius   hoc monumentum,,TN,
EDCS-25500092,Dis Manibus sacrum C Felix miles beneficiarius tribuni vixit annos XL C Saturninus,felix,FP,Eigenname
EDCS-11401121,Caius Munatius Atimetus vixit annis LVII,,TN,
EDCS-24000129,Dis Manibus Tiberio Claudio Socrati Tiberius Claudius Priscus filius,,TN,
EDCS-15600380,Dis Manibus Luci Casperi Carici  ECIII ,,TN,
EDCS-52800337,Dis Manibus Iunia Spendusa Peculiari filio piissimo qui vixit annis IIII mensibus VIII diebus XIIII horis  ,pius,TP,
EDCS-11900908,Dis Manibus  o Sulpicio Fe  tllia Pila   dulci  t qui v ixit  annos ,,TN,
EDCS-23700948,Dis Manibus sacrum Caius Boqurius Fronto valu it annos XLI Vocurius Mustiolus heres faciendum curavit,,TN,
EDCS-10801207,Dis Manibus Liberali Ioe nilis filio Natalis so cer ponen dum cura vit,,TN,
EDCS-25800112,Dis Manibus sacrum situs hic Alfius Felix Flavianus est qui partam nimia frugalitate substantiam in diem mortis servavit incolumem sibi hanc constitutus vitae in confinio filiis distribuit consulens concordiae satisque animo dum valet fecit suo vernulis quos habuit libertate consuluit data filiam nurumque adfectionis aequavit gradu has donavit auro atque argento aequaliter vestemque ambabus sua adsignavit manu gratum se atque pium ut commendaret suis ad circa meritos quoque fecit plurimos et qui numquam infirmatus in vita est sua annos peregit duos et octoginta felix vocatus felix vixit cum suis,felix,FP,"Ambiguität: Felix tritt sowohl als Name, als auch als Adjektiv auf, das Adjektiv bezieht sich aber nicht direkt auf Die Person, sondern auf Jahre und Ruf"
EDCS-28800751,Domui aeternae c lt o=U gt niugi Messillae factum quae vixit cum conpatre suo Romano annis XXXVIII hoc est sepulcrum commune ma lt r=T gt ito cum,,TN,
EDCS-09001379,Popillia Publi liberta Amoena sibi et Popilliae Publi libertae Musae sorori viva fecit,,TN,
EDCS-25800271, hic situs est Vallauna Magni et filii patri posuerunt,,TN,
EDCS-14200542,Servaeo Sagari Cingonia Eucarpea marito optimo,bonus,TP,optimus
EDCS-14100044,Antistia Publi filia Luculla vixit annos XVII hic sita est ossa tibi bene quiescant,,TN,
EDCS-24200617,Dis Manibus Sallusti a Satur nina vixit annos XXXVI,,TN,
EDCS-16201802,Dis Manibus Titus Flavius Flavianus miles classis praetoriae Misenensis IIItriere Apolline natione Al  vixit annos   heres bene merenti fecit ,,FN,
EDCS-13002922,Pompe ia Vic toria pia annos vixit XL hic sita est  Verri us Baric pius vixit annos  Quinta sius Ve spertini vixit annos L hic situs est,,FN,Gebrochene Eigennamen
EDCS-04700291,Dis Manibus Crispino marito karissi mo et sibi,,FN,(Grenzfall: k-Schreibweise)
EDCS-09301564,Vivus Lucius Lorinus Felix VIvir Augustalis,,TN,
EDCS-60400001,Dis Manibus Pontia Felicitas Pontio Felici maioris  filiis pientissimis vixit annis XI mensibus XI diebus XXVII libertis liberta busque posterisque eorum quod si quis vendisse alienumve facere volet tunc iu lt b=V gt eo ad Augustales Puteolanorum pertinere,pientissimus,TP,
EDCS-05101248,Vivus fecit Oufentina  Quinto Sextilio Quinti filio parenti  Tertiae Cattonis filiae matri,,TN,
EDCS-15900339,Dis Manibus sacrum Cornelia ,,TN,
EDCS-31800142, rus Titi filius Sergia Torquatus decurio   sibi et Titiae  ae uxori suae    io Iusto filio decurioni ,,TN,
EDCS-34600208,an nis XXXV circiter  hic situs  est,,TN,
EDCS-04800114,Dis Manibus Ulpiae M  coniugi   quae vixit annos   Aurelius   NVSE,,TN,
EDCS-10501889,Marco Catio Sabinio,,TN,
EDCS-23700897, vixit annos LX hic situs  est ossa tibi bene quiescant,,TN,
EDCS-18900086,Dis Manibus Caio Setimo Cai filio Scaptia Maximo veterano ex cohorte V praetoria Marcus Antonius Severus fecit amico optimo,,TN,"Kein syntaktischer Zusammenhang zwischen optimo und Caius Septimus, sonst FN"
EDCS-20100111,Dis Manibus sacrum Caius Aterius M pius vixit annos LXX plus minus Septimia Sal uxor fecit,pius,TN,
EDCS-09701246,Quinto Aurelio Quinti filio Pio Po  militi legionis III Augustae |centuria Mestri Vi  beneficiario tribuni vixit annos XXVIII militavit,,TN,
EDCS-14804804,Dis Manibus   Eutichi  ut ici,,TN,
EDCS-03000405,Dis Manibus,,TN,
EDCS-12001661,Dis Manibus Decimino,,TN,
EDCS-05500683,Quinta Ge melli filia annorum XXXV et Helvia  Gemela filia annorum V hic sita est sit tibi levis Lucius  faciendum curavit,,TN,
EDCS-08900408,Dis Manibus Nimphidi     II vixit ,,TN,
EDCS-42700257,ri  s faciendum curavit  o ,,TN,
EDCS-45000143,Lancius Tangini filius hic situs est,,TN,
EDCS-23701474,Dis Manibus Fabia Urba na vixit annos LXXXV hic bene quiescat,,TN,
EDCS-24900379,Dis Manibus sacrum Titus Flavius Faustulus pius vixit annis XVII mensibus VII diebus XXVI hic situs est piissimo parentes fecerunt Dis Manibus sacrum Veratius Caesarum nostro rum servus pius vixit annis XVIII mensibus VIII diebus XIIII hic situs est av lt u=O gt nculus piissimo et merentissimo,pius,TP,
